fp_pwr,rx_pwr,pwr_diff,rxpacc,dist_cm,fp_resid,label,frame_len
-71.4135937333,-93.171576107,-21.7579823737,54,84,-72.9280080121,0,58
-70.2807880835,-93.0502919616,-22.7695038781,48,84,-71.7952023623,0,58
-70.7800251123,-92.5455775391,-21.7655524268,47,80,-72.7182253725,0,58
-72.3105483115,-93.2550239023,-20.9444755908,51,88,-73.4208948685,0,58
-72.1541779603,-92.6600508825,-20.5058729223,54,92,-72.8784214134,0,58
-72.7650196166,-92.7284451279,-19.9634255113,48,81,-74.595319239,0,58
-70.3260767842,-92.580478396,-22.2544016118,52,85,-71.7376982699,0,0
-71.721208986,-92.8437677833,-21.1225587972,52,82,-73.4449319384,0,58
-70.9230230817,-94.0931551493,-23.1701320676,52,93,-71.5533641106,0,46
-72.6550861561,-93.576870736,-20.9217845799,51,75,-75.1538608883,0,0
-72.8769115891,-94.4710407582,-21.5941291691,52,77,-75.1470970857,0,0
-69.7877909453,-92.4252399241,-22.6374489787,54,83,-71.4062290978,0,0
-70.7937926957,-93.171576107,-22.3777834114,54,79,-72.8412508699,0,0
-71.5482016674,-94.1897254846,-22.6415238172,48,79,-73.5956598416,0,0
-74.6105105481,-93.5891377724,-18.9786272242,53,76,-76.9942387025,0,0
-74.8726459978,-93.9244917986,-19.0518458008,51,75,-77.37142073,0,0
-72.495678662,-93.3979130242,-20.9022343622,48,83,-74.1141168145,0,0
-73.8362932142,-93.7514955768,-19.9152023626,54,77,-76.1064787107,0,0
-72.2405653295,-93.5929310443,-21.3523657148,47,74,-74.8559309349,0,0
-70.8552417894,-93.2550239023,-22.3997821129,51,76,-73.2389699438,0,0
-72.0956565192,-93.7455340868,-21.6498775676,52,73,-74.8291993168,0,0
-72.7489501598,-93.7514955768,-21.002545417,54,76,-75.1326783141,0,0
-73.1702568944,-93.9548954861,-20.7846385917,49,73,-75.903799692,0,0
-74.2726998043,-93.7524883634,-19.4797885591,50,73,-77.0062426019,0,0
-71.4004893694,-93.423687253,-22.0231978836,52,79,-73.4479475436,0,0
-76.7861014522,-93.5929310443,-16.8068295921,47,75,-79.2848761843,0,0
-74.7221229092,-94.4710407582,-19.748917849,52,82,-76.4458458615,0,46
-72.0609394263,-93.171576107,-21.1106366808,54,83,-73.6793775788,0,0
-74.4328885078,-94.4209634731,-19.9880749653,54,72,-77.2862385791,0,0
-74.9650684728,-93.451863343,-18.4867948702,54,83,-76.5835066253,0,0
-72.2760669124,-93.2895055386,-21.0134386262,53,77,-74.546252409,0,0
-74.2682852131,-93.7455340868,-19.4772488737,52,71,-77.2431182387,0,0
-72.5622072439,-94.1897254846,-21.6275182407,48,75,-75.0609819761,0,0
-72.8856758748,-93.7455340868,-20.8598582119,52,75,-75.384450607,0,0
-73.5150218844,-94.4209634731,-20.9059415887,54,80,-75.4532221446,0,0
-73.9725608107,-94.3023774075,-20.3298165968,51,87,-75.1821757583,0,0
-74.8970330411,-94.6364912776,-19.7394582365,53,77,-77.1672185376,0,0
-71.3539226723,-93.3979130242,-22.0439903519,48,81,-73.1842222947,0,0
-73.7160169212,-95.1588256147,-21.4428086935,48,74,-76.3313825266,0,0
-75.5630970899,-93.9108741702,-18.3477770803,55,75,-78.0618718221,0,0
-73.6349217785,-95.2127759336,-21.5778541551,54,78,-75.7930297247,0,0
-72.7897480266,-94.4710407582,-21.6812927316,52,76,-75.173476181,0,0
-73.5398772649,-95.0018757295,-21.4619984646,50,75,-76.0386519971,0,0
-73.6160600603,-94.0733424105,-20.4572823502,54,90,-74.5312098715,0,0
-76.4740385384,-93.6112419365,-17.1372033981,55,70,-79.5720777381,0,0
-70.0534140494,-92.3322425588,-22.2788285094,52,88,-71.1637606064,0,0
-70.0300976051,-91.9905829862,-21.9604853811,54,83,-71.6485357576,0,0
-70.8395641561,-92.4976930781,-21.658128922,53,73,-73.5731069537,0,0
-72.2076070333,-93.6112419365,-21.4036349032,55,93,-72.8379480622,1,0
-70.2525925912,-93.0502919616,-22.7976993704,48,89,-71.2647924583,1,0
-73.0268515814,-93.2895055386,-20.2626539572,53,82,-74.7505745337,1,0
-72.7500905452,-92.9082867198,-20.1581961746,54,79,-74.7975487194,1,0
-72.1681927879,-93.7514955768,-21.5833027889,54,83,-73.7866309403,1,0
-72.1698547795,-93.171576107,-21.0017213275,54,71,-75.1446878051,1,0
-72.3287197325,-93.451863343,-21.1231436105,54,80,-74.2669199927,1,0
-72.2482049102,-92.8437677833,-20.5955628731,52,87,-73.4578198578,1,58
-72.6491387456,-95.6703508392,-23.0212120936,54,84,-74.1635530243,1,58
-70.5107292292,-92.7833882333,-22.2726590041,50,73,-73.2442720268,1,58
-71.6667466729,-92.4976930781,-20.8309464052,53,78,-73.8248546191,1,58
-74.0497592553,-94.3688223377,-20.3190630824,49,73,-76.7833020529,1,58
-73.4109408878,-92.6751044325,-19.2641635447,51,84,-74.9253551666,1,58
-74.8231672102,-93.171576107,-18.3484088969,54,81,-76.6534668326,1,58
-72.2864885806,-94.0733424105,-21.7868538299,54,82,-74.010211533,1,58
-74.7032065444,-94.2327210039,-19.5295144596,55,73,-77.436749342,1,58
