fp_pwr,rx_pwr,pwr_diff,rxpacc,dist_cm,fp_resid,label,frame_len
-71.1208361024,-92.8437677833,-21.7229316808,52,101,-71.0344086268,0,0
-71.2308595384,-92.8437677833,-21.6129082449,52,104,-70.8901927524,0,0
-71.1500831923,-92.8437677833,-21.693684591,52,110,-70.3222294891,0,46
-71.8444884906,-93.423687253,-21.5791987625,52,104,-71.5038217046,0,0
-71.1408107808,-92.8437677833,-21.7029570024,52,107,-70.5531352271,0,0
-71.3416573427,-93.1240550193,-21.7823976766,52,107,-70.753981789,0,46
-72.0231766633,-93.576870736,-21.5536940728,51,109,-71.2746467044,0,0
-71.3706910436,-93.1240550193,-21.7533639757,52,106,-70.8645737383,0,0
-71.3037049084,-92.8437677833,-21.5400628749,52,107,-70.7160293547,0,46
-71.4192404244,-92.9553916685,-21.5361512441,51,105,-70.995454443,0,0
-71.1527364888,-93.0092183026,-21.8564818137,53,107,-70.5650609351,0,0
-71.2384440161,-92.8437677833,-21.6053237672,52,111,-70.3319844404,0,46
-71.5643548272,-93.4048673008,-21.8405124736,50,108,-70.8958797175,0,0
-71.7375921963,-93.423687253,-21.6860950567,52,112,-70.7532317429,0,0
-71.1401623455,-92.580478396,-21.4403160505,52,106,-70.6340450402,0,46
-71.387954936,-92.8437677833,-21.4558128472,52,107,-70.8002793823,0,46
-72.2701452069,-93.5891377724,-21.3189925655,53,109,-71.5216152481,0,0
-74.0665274597,-94.4710407582,-20.4045132985,52,109,-73.3179975009,0,0
-78.5520752047,-94.8849676098,-16.3328924051,52,113,-77.4905063351,0,46
-77.6587534839,-96.76278832,-19.1040348361,50,90,-78.5739032952,0,0
-77.3829298932,-96.7617955334,-19.3788656403,54,42,-84.9179440852,0,58
-72.5405532745,-94.4710407582,-21.9304874838,52,107,-71.9528777207,0,0
-73.911273957,-94.1303739723,-20.2191000153,50,88,-75.021620514,0,58
-71.6950038363,-94.8849676098,-23.1899637735,52,114,-70.5569068096,1,46
-75.7789144357,-98.6957043458,-22.9167899101,51,120,-74.1952895148,1,0
-74.719403102,-95.8540677399,-21.1346646379,52,96,-75.0739784412,1,0
-79.7412273839,-98.8643676965,-19.1231403127,52,112,-78.7568669305,1,0
-76.9361203573,-98.6957043458,-21.7595839885,51,107,-76.3484448036,1,0
-82.0379878223,-98.8643676965,-16.8263798743,52,102,-81.865984387,1,0
-84.7924774443,-100.113755063,-15.3212776183,52,163,-80.5487253563,1,0
-87.7986084758,-100.113755063,-12.3151465868,52,205,-81.5635312547,1,46
-86.6253972372,-104.88496761,-18.2595703726,52,189,-81.0961611537,1,0
-89.711985322,-101.874667653,-12.1626823312,52,191,-84.091317977,1,0
-90.2809850915,-104.716304259,-14.4353191676,51,152,-86.6441133326,1,58
-86.5727061511,-101.874667653,-15.3019615021,52,150,-83.05088097,1,0
-86.5421068095,-101.874667653,-15.3325608436,52,190,-80.9670347905,1,0
-89.6769299553,-102.040118172,-12.3631882172,53,190,-84.1018579362,1,0
-85.3035386581,-101.874667653,-16.571128995,52,197,-79.4142141349,1,0
-86.2688422253,-101.706004302,-15.4371620771,51,197,-80.3795177021,1,0
-86.4225187528,-105.050418129,-18.6278993764,53,153,-82.7286901364,1,58
-87.6687646613,-101.874667653,-14.2059029919,52,175,-82.8080036876,1,0
-86.7142234511,-101.874667653,-15.1604442021,52,175,-81.8534624774,1,0
-86.1064873999,-101.874667653,-15.7681802533,52,193,-80.3953412198,1,0
-86.3900304331,-104.88496761,-18.4949371767,52,194,-80.6339958345,1,58
-89.391371361,-101.706004302,-12.3146329414,51,202,-83.2843439721,1,58
-89.6466060344,-101.874667653,-12.2280616188,52,202,-83.5395786454,1,46
-87.0139916116,-101.874667653,-14.8606760416,52,203,-80.8640708534,1,0
-88.4567883908,-101.874667653,-13.4178792624,52,198,-82.5234845856,1,0
-87.6721813739,-104.716304259,-17.0441228852,51,190,-82.0971093548,1,58
-89.6318716018,-101.874667653,-12.2427960513,52,190,-84.0567995828,1,0
-88.6311067289,-101.534000867,-12.9028941383,50,191,-83.010439384,1,58
-86.5151351287,-101.534000867,-15.0188657385,50,199,-80.5380736005,1,58
-87.6537903582,-104.716304259,-17.0625139009,51,198,-81.720486553,1,58
-87.640372713,-101.534000867,-13.8936281542,50,190,-82.0653006939,1,58
-87.562541555,-101.874667653,-14.3121260982,52,200,-81.5419416417,1,58
-88.1642255591,-103.629151013,-15.4649254535,45,203,-82.0143048008,1,58
-89.8017156731,-103.820057371,-14.0183416977,46,197,-83.9123911498,1,58
-88.7266783795,-101.874667653,-13.1479892737,52,202,-82.6196509906,1,46
-88.1159748999,-101.874667653,-13.7586927533,52,202,-82.008947511,1,46
-87.7472693026,-101.706004302,-13.9587349998,51,202,-81.6402419137,1,0
