fp_pwr,rx_pwr,pwr_diff,rxpacc,dist_cm,fp_resid,label,frame_len
-81.7948070569,-101.874667653,-20.0798605963,52,504.25,-67.7418889192,0,0
-75.0922292291,-95.3425425154,-20.2503132864,52,356.75,-64.0449495933,0,0
-72.3084982387,-93.7455340868,-21.4370358481,52,283,-63.2727695282,0,0
-78.0711055187,-95.3425425154,-17.2714369967,52,255.923076923,-69.9089165474,0,0
-73.357847969,-93.423687253,-20.065839284,52,228.846153846,-66.1669756139,0,0
-74.5553279952,-93.1240550193,-18.568727024,52,201.769230769,-68.4582292296,0,0
-72.0737213858,-93.7757986331,-21.7020772472,48,174.692307692,-67.2282457476,0,0
-73.2349388805,-93.5929310443,-20.3579921638,47,149.925,-69.7174577303,0,0
-69.8655415025,-91.8160972867,-21.9505557842,49,141.325,-66.8611616198,0,0
-70.2230115838,-92.6079097471,-22.3848981633,49,132.725,-67.7639569036,0,0
-71.1641796464,-93.9548954861,-22.7907158398,49,124.125,-69.2869944163,0,0
-70.3913143635,-94.1897254846,-23.7984111211,48,115.525,-69.1377948197,0,0
-70.0361339858,-93.0502919616,-23.0141579758,48,134.55,-67.4584599438,0,0
-71.8936525535,-93.3979130242,-21.5042604707,48,158.15,-67.9122686284,0,0
-73.6475017578,-95.3379224678,-21.69042071,49,181.75,-68.4580133671,0,0
-71.1570131538,-93.0830204671,-21.9260073132,50,205.35,-64.90711901,0,0
-70.322858399,-93.3979130242,-23.0750546251,48,230.75,-63.0600242051,0,0
-72.3423713412,-93.9548954861,-21.6125241449,49,268.75,-63.7554018827,0,0
-72.8563379693,-95.5558774957,-22.6995395264,47,306.75,-63.1206465413,0,0
-80.3801164762,-97.2000254413,-16.8199089651,48,344.75,-69.6300309792,0,0
-82.1074199509,-96.0933204237,-13.9859004728,50,382.75,-70.4491159635,0,0
-84.598030577,-94.3688223377,-9.77079176069,49,420.75,-72.117548084,0,0
-77.9613339863,-94.6473003902,-16.685966404,48,427.051282051,-65.3517333863,0,0
-81.0661477494,-98.1691255714,-17.102977822,48,401.615384615,-68.9899409313,0,0
-82.8841552855,-100.809757414,-17.9256021286,46,388.897435897,-71.0874536907,0,0
-76.831355837,-100.809757414,-23.9784015771,46,376.179487179,-65.3234536357,0,0
-79.9341201229,-94.8849676098,-14.9508474869,52,452.853658537,-66.8149625091,0,0
-70.7689512115,-94.0931551493,-23.3242039378,52,462.219512195,-57.4719857136,0,0
-90.3501226578,-104.189725485,-13.8396028268,48,466.902439024,-76.9655998053,0,0
-78.9197092933,-104.006857896,-25.0871486026,47,465.681818182,-65.557923655,0,0
-85.8054570008,-104.006857896,-18.2014008951,47,423.136363636,-73.2758500112,0,0
-80.9870672675,-97.2000254413,-16.2129581738,48,380.590909091,-69.3778990598,0,0
-78.6410070575,-93.5929310443,-14.9519239868,47,338.045454545,-68.0615050442,0,0
-90.0857610523,-101.179425528,-11.0936644757,48,295.5,-80.674611348,0,0
-80.4993339141,-97.9862579826,-17.4869240684,47,252.954545455,-72.4384841572,0,0
-74.6371912169,-94.9759580259,-20.3387668091,47,216.743589744,-67.9182659779,0,0
-69.156343724,-91.8852362709,-22.7288925469,48,184.333333333,-63.8442661923,0,0
-70.0865670399,-93.2293888146,-23.1428217748,49,151.923076923,-66.4540920868,0,0
-69.9630444495,-93.7757986331,-23.8127541836,48,119.512820513,-68.4147545314,0,0
-69.328164417,-93.2150454354,-23.8868810183,47,43.3243243243,-76.5935284513,0,0
-69.711464794,-92.8674243728,-23.1559595787,47,35.0238095238,-78.8241971474,0,0
-69.6210712689,-92.6079097471,-22.9868384783,49,35.2142857143,-78.6866935969,0,0
-71.3116339928,-94.7891575008,-23.477523508,46,35.7857142857,-80.237440189,0,0
-70.7449884011,-94.4644328014,-23.7194444003,47,35.9761904762,-79.6246849223,0,0
-70.668380583,-93.4061305192,-22.7377499362,46,4.15384615385,-90.668380583,0,0
-74.5863837606,-96.76278832,-22.1764045594,50,0.625,-94.5863837606,0,0
-70.0642778445,-93.2293888146,-23.1651109701,49,1.625,-90.0642778445,0,0
-71.5511478398,-93.3979130242,-21.8467651844,48,2.625,-91.5511478398,0,0
-81.1487530714,-95.1588256147,-14.0100725434,48,3.625,-101.148753071,0,0
-70.6563474005,-93.1240550193,-22.4677076187,52,284.285714286,-61.5812466726,0,0
-69.6991174589,-92.4288128941,-22.7296954352,48,154.2,-65.9374299846,0,0
-70.3640651536,-94.0068578958,-23.6427927422,47,114.52,-69.1864383666,0,0
-71.0235141385,-94.798849082,-23.7753349435,54,47.4,-77.507947305,0,0
-74.4300472403,-97.3791222943,-22.949075054,49,32.2,-84.2729298064,0,0
-69.6560518447,-93.3979130242,-23.7418611794,48,17,-85.0470734172,0,0
-76.250190127,-99.7730882766,-23.5228981496,50,88.68,-77.2936764381,0,0
-72.5809072775,-95.2127759336,-22.6318686561,54,124.52,-70.6761250373,0,0
-72.3774314216,-95.9178419376,-23.540410516,49,205.25,-66.1317681057,0,0
-72.4185883325,-95.1588256147,-22.7402372822,48,245.916666667,-64.6028290634,0,0
-76.172872067,-96.4082129808,-20.2353409138,48,318.8,-66.1025058125,0,0
-77.7845354351,-101.179425528,-23.3948900928,48,354.96,-66.780947121,0,0
-82.6306296834,-104.88496761,-22.2543379264,52,337.545454545,-72.0639844021,0,0
-69.968401963,-92.8437677833,-22.8753658203,52,267,-61.4381767357,0,0
-74.1240438004,-95.8540677399,-21.7300239395,52,218.333333333,-67.341642895,0,0
-70.7722987161,-94.4710407582,-23.6987420421,52,121,-69.1165913098,0,0
-70.2914998104,-93.7455340868,-23.4540342763,52,91.962962963,-71.0192407025,0,0
-71.0704237415,-94.6473003902,-23.5768766488,48,33.8888888889,-80.4692771433,0,0
-69.4855860397,-92.3276225111,-22.8420364715,49,21.5416666667,-82.820000012,0,0
-72.3299695322,-96.5873098339,-24.2573403016,49,16.875,-87.7850939022,0,0
-72.1300704553,-96.0933204237,-23.9632499684,50,24.5714285714,-84.3214623174,0,0
-70.2797276584,-94.1303739723,-23.8506463138,50,52,-75.9596607857,0,0
-70.0694918402,-94.1303739723,-24.0608821321,50,67.9583333333,-73.4246374536,0,0
-69.4635261352,-93.2150454354,-23.7515193002,47,131.291666667,-67.0987829059,0,0
-70.3244317194,-93.7524883634,-23.428056644,50,163.76,-66.0402751263,0,0
-70.2341133272,-93.4048673008,-23.1707539735,50,239.92,-62.6327842722,0,0
-70.766665106,-94.1897254846,-23.4230603786,48,278,-61.8857691877,0,0
-76.0124555234,-94.1303739723,-18.1179184488,50,368.666666667,-64.6797780785,0,0
-73.9396988674,-95.5134009539,-21.5737020865,50,414,-61.599692045,0,0
-72.883183546,-95.7387450845,-22.8555615385,48,327.391304348,-62.5818407423,0,0
-71.0211767555,-94.4710407582,-23.4498640027,52,240.782608696,-63.3886744477,0,0
-69.796203405,-92.8437677833,-23.0475643782,52,154.5,-66.0176337298,0,0
-71.3501822401,-94.8849676098,-23.5347853697,52,112.5,-70.3271317911,0,0
-73.7204173907,-97.8952675665,-24.1748501757,52,37.8333333333,-82.1629252546,0,0
-74.3371422996,-97.8952675665,-23.5581252669,52,33.1666666667,-83.9231057791,0,0
-74.5625628631,-97.8952675665,-23.3327047033,52,28.9,-85.344606008,0,0
-75.4851706751,-98.8643676965,-23.3791970214,52,44.5,-82.5179704555,0,0
-70.1333494641,-93.7455340868,-23.6121846227,52,60.1,-74.555860024,0,0
-70.9465412989,-94.8849676098,-23.9384263109,52,112.857142857,-69.8959602734,0,0
-70.9722899784,-94.1303739723,-23.1580839939,50,330.142857143,-60.5982518691,0,0
-74.4622632262,-98.5237009106,-24.0614376844,50,499.285714286,-60.4952804249,0,0
-78.3261746833,-104.368822338,-26.0426476543,49,498,-64.3815878282,0,0
-70.8262674669,-92.0974316003,-21.2711641334,52,197.777777778,-64.9027176095,0,0
-77.388649894,-101.874667653,-24.4860177591,52,116,-76.0994901095,0,0
-69.8213641837,-93.7455340868,-23.924169903,52,55.84,-74.8824559914,0,0
-70.6408844035,-94.4710407582,-23.8301563548,52,25.76,-82.4219672297,0,0
