fp_pwr,rx_pwr,pwr_diff,rxpacc,label,frame_len
-74.2439883168,-93.9548954861,-19.7109071693,49,0,0
-74.5080943362,-95.3425425154,-20.8344481792,52,0,0
-72.4463878447,-94.1897254846,-21.74333764,48,0,0
-70.2230791093,-93.2150454354,-22.9919663261,47,0,0
-71.1102664112,-94.8263972433,-23.7161308321,49,0,0
-74.5566395478,-97.9862579826,-23.4296184347,47,0,0
-75.3303117581,-99.4185129374,-24.0882011794,48,0,0
-71.5055860905,-94.8849676098,-23.3793815193,52,0,0
-74.7412722134,-94.6473003902,-19.9060281769,48,0,0
-73.6860441435,-93.7757986331,-20.0897544895,48,0,0
-70.8811074802,-92.7833882333,-21.9022807531,50,0,0
-72.8443171811,-94.0068578958,-21.1625407147,47,0,0
-73.4445407774,-93.2150454354,-19.7705046579,47,0,0
-75.3703619567,-95.3690769706,-19.9987150139,46,0,0
-83.9282710973,-95.7387450845,-11.8104739872,48,0,0
-81.228102383,-99.2356453486,-18.0075429656,47,0,0
-78.1486480585,-97.9862579826,-19.837609924,47,0,0
-84.8900192021,-103.820057371,-18.9300381686,46,0,0
-72.629228899,-94.8849676098,-22.2557387108,52,0,0
-78.5312988107,-97.8952675665,-19.3639687558,52,0,0
-76.305318191,-94.4710407582,-18.1657225672,52,0,0
-83.7971088053,-95.3379224678,-11.5408136625,49,0,0
-78.1076831786,-93.2293888146,-15.121705636,49,0,0
-72.1920637944,-92.9075419809,-20.7154781865,49,0,0
-73.2400587293,-94.4644328014,-21.2243740722,47,0,0
-71.4289180047,-94.3688223377,-22.9399043329,49,0,0
-74.5486594871,-97.8952675665,-23.3466080794,52,0,0
-92.3386162064,-97.3791222943,-5.04050608793,49,0,0
-75.5449895317,-98.3482224244,-22.8032328927,49,0,0
-80.3243049314,-97.9862579826,-17.6619530511,47,0,0
-80.8492856269,-100.996557939,-20.1472723123,47,0,0
-82.6735603777,-101.179425528,-18.5058651503,48,0,0
-83.1393184272,-100.996557939,-17.857239512,47,0,0
-80.5180700203,-104.368822338,-23.8507523174,49,0,0
-80.1785250612,-104.006857896,-23.8283328347,47,0,0
-75.0235722192,-97.9862579826,-22.9626857633,47,0,0
-80.2303219416,-98.8643676965,-18.634045755,52,0,0
-81.3961234356,-97.0171578525,-15.6210344169,47,0,0
-81.5621968173,-99.4185129374,-17.8563161202,48,0,0
-73.6166687308,-95.7387450845,-22.1220763537,48,0,0
-80.0923253741,-96.76278832,-16.6704629459,50,0,0
-74.3242147739,-94.4644328014,-20.1402180275,47,0,0
-92.0966765586,-101.874667653,-9.77799109457,52,0,0
-75.4483668192,-97.103455106,-21.6550882868,52,0,0
-75.8042258165,-92.580478396,-16.7762525795,52,0,0
-72.0653376007,-93.1240550193,-21.0587174186,52,0,0
